code	ds_type	max_v	min_v	name	node	node_idx	price	sub_division	idx	node_id	OUID	GasSort	SalesClientID	SupplyCategoryID	ClientStationID	ProvinceID	SalesType	ImportGasSourceType	TradeProp	GasDomestic
3779319497744187392	demand	27.25961	27.25961	A00000001	A00000002	3779318278963331072	17889.91	0	1	326	XSDB0002	10001		CS000001	ZDGN0382	PROV0009	2.0	null	null	null
3779319497744187393	demand	0.0	0.0	A00000003	A00000002	3779318278963331072	17889.91	0	2	326	XSDB0002	10002		CS000001	ZDGN0382	PROV0009	2.0	null	null	null
3779319497748381696	demand	0.0	0.0	A00000001	A00000002	3779318278963331072	0.0	0	3	326	XSDB0002	10001		CS000001	ZDGN0382	PROV0009	5.0	null	null	null
3779319501535838208	demand	0.0	0.0	A00000004	A00000005	3779318279022051328	17889.91	0	4	335	XSDB0002	10001		CS000001	ZDGN0395	PROV0009	2.0	null	null	null
3779319503771402240	demand	94.05919	94.05919	A00000006	A00000007	3779318279017857024	17889.91	0	5	334	XSDB0002	10001		CS000001	ZDGN0396	PROV0009	2.0	null	null	null
3779319505818222592	demand	99.60465	99.60465	A00000008	A00000009	3779318278967525376	17889.91	0	6	327	XSDB0002	10001		CS000001	ZDGN0397	PROV0009	2.0	null	null	null
3779319505822416896	demand	0.0	0.0	A00000008	A00000009	3779318278967525376	0.0	0	7	327	XSDB0002	10001		CS000001	ZDGN0397	PROV0009	5.0	null	null	null
3779319508200587264	demand	61.7969	61.7969	A00000010	A00000011	3779318278950748160	17889.91	0	8	324	XSDB0002	10001		CS000001	ZDGN0398	PROV0009	2.0	null	null	null
3779319508200587265	demand	0.0	0.0	A00000012	A00000011	3779318278950748160	17889.91	0	9	324	XSDB0002	10004		CS000001	ZDGN0398	PROV0009	2.0	null	null	null
3779319510180298752	demand	71.90622	71.90622	A00000013	A00000014	3779318279479230464	17889.91	0	10	401	XSDB0002	10007		CS000001	ZDGN0414	PROV0009	2.0	null	null	null
