name	code	has_compressor	comp_ratio	pressure_upper	pressure_lower	lowest_temp	highest_temp	elevation	A00001516	A00001517	sub_division	valve	idx
A00001111	3779318276715184128	A00001518	1.4	11.85	6.0	0.0	20.0	635.0	A00001519	A00001520	0		1
A00001088	3779318276727767040		1.4	11.85	6.0	0.0	20.0	635.0	A00001521	A00001522	0		2
A00001523	3779318276736155648	A00001524	1.4	11.85	6.0	0.0	20.0	390.0	A00001525	A00001526	0		3
A00001090	3779318276740349952	A00001527	1.4	11.85	6.0	0.0	20.0	390.0	A00001528	A00001529	0		4
A00001530	3779318276748738560	A00001531	1.4	11.85	6.0	0.0	20.0	570.0	A00001532	A00001533	0		5
A00001092	3779318276757127168	A00001534	1.4	11.85	6.0	0.0	20.0	570.0	A00001535	A00001536	0		6
A00001537	3779318276761321472	A00001538	1.4	11.85	6.0	0.0	20.0	590.0	A00001539	A00001540	0		7
A00001096	3779318276769710080	A00001541	1.4	11.85	6.0	0.0	20.0	590.0	A00001542	A00001543	0		8
A00001134	3779318276815847424		1.4	11.85	6.0	0.0	20.0	528.0	A00001544	A00001545	0		9
A00001546	3779318276824236032		1.4	11.85	6.0	0.0	20.0	528.0	A00001547	A00001545	0		10
A00001094	3779318276832624640		1.4	11.85	6.0	0.0	20.0	570.0	A00001548	A00001549	0		11
A00001550	3779318276836818944		1.4	11.85	6.0	0.0	20.0	546.0	A00001551	A00001552	0		12
A00001553	3779318276845207552		1.4	11.85	6.0	0.0	20.0	688.0	A00001554	A00001555	0		13
A00001098	3779318276849401856		1.4	11.85	6.0	0.0	20.0	688.0	A00001556	A00001557	0		14
A00001558	3779318276857790464	A00001559	1.4	11.85	6.0	0.0	20.0	1188.0	A00001560	A00001561	0		15
A00001101	3779318276861984768	A00001562	1.4	11.85	6.0	0.0	20.0	1188.0	A00001563	A00001564	0		16
A00001565	3779318276870373376		1.4	11.85	6.0	0.0	20.0	626.0	A00001566	A00001567	0		17
A00001104	3779318276874567680		1.4	9.85	4.0	0.0	20.0	635.0	A00001568	A00001569	0		18
A00001570	3779318276882956288	A00001571	1.4	11.85	6.0	0.0	20.0	680.0	A00001572	A00001573	0		19
A00001574	3779318276887150592	A00001575	1.4	11.85	6.0	0.0	20.0	680.0	A00001576	A00001577	0		20
A00001578	3779318276895539200	A00001579	1.4	11.85	6.0	0.0	20.0	730.0	A00001580	A00001581	0		21
A00001582	3779318276903927808		1.4	11.85	6.0	0.0	20.0	730.0	A00001583	A00001584	0		22
