code	ds_type	idx	max_v	min_v	name	node	node_id	node_idx	price
3779319522192785408	demand	24	8.054323	8.054323	A00000032	A00000033	171	3779318277918949376	17064.22
3779319524113776640	demand	25	0.0	0.0	A00000034	A00000035	185	3779318278011224064	17064.22
3779319524113776641	demand	26	6.379729	6.379729	A00000036	A00000035	185	3779318278011224064	16880.73
3779319526097682432	demand	27	140.3847	140.3847	A00000037	A00000038	112	3779318277520490496	17064.22
3779319526097682433	demand	28	0.0	0.0	A00000039	A00000038	112	3779318277520490496	16880.73
3779319527959953408	demand	29	153.3783	153.3783	A00000040	A00000041	153	3779318277797314560	17064.22
3779319530929520640	demand	30	0.0	0.0	A00000042	A00000043	119	3779318277566627840	17064.22
3779319530933714944	demand	31	1089.276	1089.276	A00000044	A00000043	119	3779318277566627840	16880.73
3779319530933714945	demand	32	0.0	0.0	A00000045	A00000043	119	3779318277566627840	16880.73
3779319530937909248	demand	33	0.0	0.0	A00000046	A00000043	119	3779318277566627840	16880.73
3779319532527550464	demand	34	2.394571	2.394571	A00000047	A00000048	120	3779318277575016448	17064.22
3779319532527550465	demand	35	15.26345	15.26345	A00000049	A00000048	120	3779318277575016448	16880.73
3779319532531744768	demand	36	11.14323	11.14323	A00000050	A00000048	120	3779318277575016448	16880.73
3779319532531744769	demand	37	0.0	0.0	A00000051	A00000048	120	3779318277575016448	16880.73
3779319534452736000	demand	38	564.0859	564.0859	A00000052	A00000053	156	3779318277818286080	17064.22
3779319536109486080	demand	39	0.0	0.0	A00000054	A00000055	157	3779318277822480384	17064.22
3779319536109486081	demand	40	0.0	0.0	A00000056	A00000055	157	3779318277822480384	17064.22
3779319537791401984	demand	41	132.0979	132.0979	A00000057	A00000058	154	3779318277805703168	17064.22
3779319539368460288	demand	42	1620.851	1620.851	A00000059	A00000060	147	3779318277759565824	17064.22
3779319541578858496	demand	43	0.0	0.0	A00000061	A00000062	148	3779318277763760128	17064.22
3779319543038476288	demand	44	14.179039999999999	14.179039999999999	A00000063	A00000064	144	3779318277738594304	17064.22
3779319545185959936	demand	45	394.8356	394.8356	A00000065	A00000066	145	3779318277746982912	17064.22
3779319547195031552	demand	46	282.478205	282.478205	A00000067	A00000068	150	3779318277776343040	17064.22
3779319549174743040	demand	47	237.0781	237.0781	A00000069	A00000070	152	3779318277793120256	17064.22
3779319553549402112	demand	48	1149.863	1149.863	A00000071	A00000072	158	3779318277830868992	17064.22
3779319556028235776	demand	49	270.5409	270.5409	A00000073	A00000074	155	3779318277809897472	17064.22
3779319557722734592	demand	50	2165.788	2165.788	A00000075	A00000076	146	3779318277751177216	17064.22
3779319572469907456	demand	58	145.4588	145.4588	A00000090	A00000091	607	3779318280892710912	12018.35
3779319575766630400	demand	59	4.052728	4.052728	A00000092	A00000093	606	3779318280884322304	12018.35
